OBJECTID,PointCount,ORIG_FID,POINT_X,POINT_Y,POINT_Z
311,87,19994,319923.438199999742210,100728.274299999698997,0.341337500009104
312,116,20564,319947.352800000458956,100728.280400000512600,-0.079265333333751
313,87,19994,319926.940299999900162,100728.289599999785423,0.460103666671785
314,667,34696,319946.234199999831617,100728.292600000277162,-0.149475166661432
315,116,20564,319932.332200000062585,100728.307900000363588,-0.140288833325030
316,86,20579,319928.180900000035763,100728.310900000855327,0.289500333339674
317,102,19975,319944.243900000117719,100728.310900000855327,-0.100590749992989
318,667,34696,319925.410199999809265,100728.326199999079108,0.298686666676076
319,327,34657,319945.871500000357628,100728.335300000384450,-0.131102499988629
320,327,34657,319941.013000000268221,100728.356599999591708,-0.118963416665792
321,102,19975,319941.680499999783933,100728.368799999356270,-0.118963416665792
322,667,34696,319949.812599999830127,100728.368799999356270,-0.170800583320670
323,667,34696,319945.112499999813735,100728.374900000169873,-0.140288833325030
324,667,34696,319924.498900000005960,100728.390200000256300,0.411547333336785
325,87,19994,319924.526300000026822,100728.399299999698997,0.478476333344588
326,87,19994,319927.936999999918044,100728.405400000512600,0.359710166667355
327,116,20564,319948.392199999652803,100728.408500000834465,0.219290500011994
328,116,20564,319933.298499999567866,100728.411499999463558,-0.091404416656587
329,327,34657,319944.911399999633431,100728.411499999463558,-0.118963416665792
330,102,19975,319945.210099999792874,100728.414599999785423,-0.109777083329391
331,86,20579,319929.369599999859929,100728.417600000277162,0.070012583339121
332,327,34657,319939.909599999897182,100728.438899999484420,-0.118963416665792
333,667,34696,319948.812800000421703,100728.445000000298023,-0.228543249992072
334,667,34696,319944.021300000138581,100728.466399999335408,-0.131102499988629
335,667,34696,319923.535699999891222,100728.475500000640750,0.329198416671716
336,327,34657,319943.939000000245869,100728.484699999913573,-0.149475166661432
337,667,34696,319948.011199999600649,100728.490800000727177,0.411547333336785
338,102,19975,319942.799100000411272,100728.496799999848008,-0.109777083329391
339,116,20564,319949.629700000397861,100728.505999999120831,-0.179986916657072
340,116,20564,319934.316499999724329,100728.508999999612570,-0.228543249992072
341,87,19994,319928.997700000181794,100728.512099999934435,0.118897000007564
342,327,34657,319938.787899999879301,100728.521199999377131,-0.158333416664391
343,87,19994,319925.675400000065565,100728.530400000512600,0.429591916676145
344,102,19975,319946.179299999959767,100728.530400000512600,-0.070078999997349
345,86,20579,319930.475999999791384,100728.545600000768900,0.188778750001802
346,667,34696,319942.939299999736249,100728.548699999228120,-0.060892666660948
347,327,34657,319942.957600000314415,100728.557800000533462,-0.131102499988629
348,667,34696,319946.898699999786913,100728.594399999827147,-0.079265333333751
349,116,20564,319935.325400000438094,100728.606599999591708,-0.350590249989182
350,102,19975,319943.917700000107288,100728.624900000169873,-0.131102499988629
351,87,19994,319929.954800000414252,100728.627900000661612,0.210432250009035
352,327,34657,319941.997499999590218,100728.633999999612570,-0.109777083329391
353,102,19975,319947.157700000330806,100728.637099999934435,-0.140288833325030
354,667,34696,319941.826799999922514,100728.640100000426173,-0.070078999997349
355,86,20579,319931.655600000172853,100728.646199999377131,-0.021522666662349
356,87,19994,319926.803199999965727,100728.658399999141693,0.429591916676145
357,667,34696,319945.947700000368059,100728.667500000447035,-0.048753583323560
358,327,34657,319941.037299999967217,100728.698000000789762,-0.100590749992989
359,667,34696,319940.705099999904633,100728.731499999761581,-0.149475166661432
360,87,19994,319930.914900000207126,100728.734600000083447,0.298686666676076
361,667,34696,319944.926599999889731,100728.749800000339746,-0.149475166661432
362,102,19975,319947.965499999932945,100728.749800000339746,0.490615416667424
363,102,19975,319945.027200000360608,100728.752900000661612,-0.149475166661432
364,86,20579,319932.832100000232458,100728.765100000426173,-0.170800583320670
365,327,34657,319940.065000000409782,100728.771199999377131,-0.091404416656587
366,327,34657,319935.474700000137091,100728.777300000190735,-0.179986916657072
367,87,19994,319927.851700000464916,100728.783399999141693,0.710103166667977
368,667,34696,319939.623100000433624,100728.825999999418855,-0.100590749992989
369,667,34696,319943.984799999743700,100728.825999999418855,-0.048753583323560
370,327,34657,319939.074400000274181,100728.847400000318885,-0.140288833325030
371,87,19994,319932.012199999764562,100728.850400000810623,-0.118963416665792
372,327,34657,319934.392699999734759,100728.859600000083447,-0.158333416664391
373,102,19975,319949.105399999767542,100728.859600000083447,-0.140288833325030
374,102,19975,319946.155000000260770,100728.880899999290705,-0.158333416664391
375,86,20579,319933.962899999693036,100728.883899999782443,-0.140288833325030
376,667,34696,319943.021599999628961,100728.899199999868870,0.000130833344883
377,87,19994,319929.070899999700487,100728.905300000682473,0.399080166665954
378,667,34696,319938.501400000415742,100728.908299999311566,-0.131102499988629
379,327,34657,319938.102099999785423,100728.920499999076128,-0.158333416664391
380,116,20564,319938.202700000256300,100728.923599999397993,-0.091404416656587
381,327,34657,319933.301500000059605,100728.941899999976158,-0.201312333330861
382,87,19994,319933.008899999782443,100728.957100000232458,-0.219356916655670
383,102,19975,319950.004599999636412,100728.972300000488758,0.109710666671162
384,667,34696,319942.043200000189245,100728.975400000810623,-0.021522666662349
385,86,20579,319935.109000000171363,100728.990599999204278,-0.210498666667263
386,102,19975,319947.212600000202656,100728.996700000017881,0.008989083333290
387,116,20564,319939.172000000253320,100729.018100000917912,-0.100590749992989
388,87,19994,319930.259600000455976,100729.033299999311566,0.118897000007564
389,327,34657,319932.198099999688566,100729.036299999803305,-0.170800583320670
390,667,34696,319941.070899999700487,100729.057700000703335,-0.039567249987158
391,87,19994,319933.978199999779463,100729.072899999096990,-0.170800583320670
392,102,19975,319951.031799999997020,100729.078999999910593,-0.091404416656587
393,327,34657,319931.256299999542534,100729.100400000810623,0.329198416671716
394,667,34696,319940.159500000067055,100729.124700000509620,0.170734166676993
395,102,19975,319948.279400000348687,100729.124700000509620,0.179920499998843
396,116,20564,319940.128999999724329,100729.133899999782443,0.000130833344883
397,327,34657,319935.206500000320375,100729.142999999225140,-0.188845166660030
398,87,19994,319931.436099999584258,100729.161299999803305,-0.100590749992989
399,667,34696,319935.218700000084937,100729.173499999567866,-0.158333416664391
400,87,19994,319934.956600000150502,100729.188699999824166,-0.131102499988629
401,327,34657,319930.116299999877810,100729.191800000146031,0.149408750003204
402,667,34696,319939.117100000381470,100729.216199999675155,-0.100590749992989
403,327,34657,319934.246399999596179,100729.219200000166893,-0.179986916657072
404,116,20564,319940.967199999839067,100729.246700000017881,0.539499833335867
405,102,19975,319949.468100000172853,100729.255799999460578,-0.109777083329391
406,667,34696,319934.124499999918044,100729.264900000765920,-0.158333416664391
407,327,34657,319929.073900000192225,100729.274100000038743,0.359710166667355
408,87,19994,319932.576100000180304,100729.280200000852346,-0.131102499988629
